dtDia,qtdeTransacao,qtdeTransacaoAcum
2024-01-27,15,15
2024-01-29,460,475
2024-01-30,400,875
2024-01-31,534,1409
2024-02-01,568,1977
2024-02-02,720,2697
2024-02-05,1710,4407
2024-02-06,1442,5849
2024-02-07,572,6421
2024-02-08,481,6902
2024-02-09,482,7384
2024-02-10,29,7413
2024-02-11,31,7444
2024-02-12,352,7796
2024-02-13,364,8160
2024-02-14,411,8571
2024-02-15,666,9237
2024-02-16,1216,10453
2024-02-17,38,10491
2024-02-18,26,10517
2024-02-19,639,11156
2024-02-20,803,11959
2024-02-21,459,12418
2024-02-22,811,13229
2024-02-23,1231,14460
2024-02-24,39,14499
2024-02-25,28,14527
2024-02-26,1615,16142
2024-02-27,1996,18138
2024-02-28,1274,19412
2024-02-29,1540,20952
2024-03-01,1719,22671
2024-03-02,573,23244
2024-03-03,40,23284
2024-03-04,772,24056
2024-03-05,831,24887
2024-03-06,831,25718
2024-03-07,700,26418
2024-03-08,1476,27894
2024-03-09,12,27906
2024-03-10,9,27915
2024-03-11,1399,29314
2024-03-12,1639,30953
2024-03-13,2016,32969
2024-03-14,1644,34613
2024-03-15,1797,36410
2024-03-16,790,37200
2024-03-17,35,37235
2024-03-18,679,37914
2024-03-19,718,38632
2024-03-20,796,39428
2024-03-21,603,40031
2024-03-22,1403,41434
2024-03-23,22,41456
2024-03-24,35,41491
2024-03-25,928,42419
2024-03-26,741,43160
2024-03-27,867,44027
2024-03-28,604,44631
2024-03-29,997,45628
2024-03-30,10,45638
2024-03-31,10,45648
2024-04-01,439,46087
2024-04-02,702,46789
2024-04-03,580,47369
2024-04-04,539,47908
2024-04-05,1565,49473
2024-04-06,19,49492
2024-04-07,24,49516
2024-04-08,2292,51808
2024-04-09,867,52675
2024-04-10,629,53304
2024-04-11,1245,54549
2024-04-12,2509,57058
2024-04-13,19,57077
2024-04-14,17,57094
2024-04-15,1393,58487
2024-04-16,1795,60282
2024-04-17,1789,62071
2024-04-18,1817,63888
2024-04-19,1870,65758
2024-04-20,373,66131
2024-04-22,442,66573
2024-04-23,630,67203
2024-04-24,529,67732
2024-04-25,828,68560
2024-04-26,1547,70107
2024-04-27,278,70385
2024-04-28,11,70396
2024-04-29,609,71005
2024-04-30,14,71019
2024-05-01,1,71020
2024-05-02,723,71743
2024-05-03,738,72481
2024-05-04,423,72904
2024-05-05,12,72916
2024-05-06,40,72956
2024-05-07,331,73287
2024-05-08,753,74040
2024-05-09,676,74716
2024-05-10,923,75639
2024-05-11,19,75658
2024-05-12,22,75680
2024-05-13,1075,76755
2024-05-14,844,77599
2024-05-15,768,78367
2024-05-16,626,78993
2024-05-17,1066,80059
2024-05-18,13,80072
2024-05-19,7,80079
2024-05-20,479,80558
2024-05-21,1207,81765
2024-05-22,986,82751
2024-05-23,1029,83780
2024-05-24,756,84536
2024-05-25,8,84544
2024-05-26,6,84550
2024-05-27,899,85449
2024-05-28,807,86256
2024-05-29,650,86906
2024-05-30,100,87006
2024-05-31,1073,88079
2024-06-01,25,88104
2024-06-02,37,88141
2024-06-03,1237,89378
2024-06-04,1181,90559
2024-06-05,614,91173
2024-06-06,870,92043
2024-06-07,1024,93067
2024-06-08,2,93069
2024-06-10,243,93312
2024-06-11,664,93976
2024-06-12,635,94611
2024-06-13,635,95246
2024-06-14,1096,96342
2024-06-17,814,97156
2024-06-18,879,98035
2024-06-19,476,98511
2024-06-20,685,99196
2024-06-21,1007,100203
2024-06-22,2,100205
2024-06-24,710,100915
2024-06-25,1004,101919
2024-06-26,1003,102922
2024-06-27,766,103688
2024-06-28,1036,104724
2024-06-29,7,104731
2024-07-01,752,105483
2024-07-02,749,106232
2024-07-03,694,106926
2024-07-04,580,107506
2024-07-05,723,108229
2024-07-08,758,108987
2024-07-09,506,109493
2024-07-10,605,110098
2024-07-11,600,110698
2024-07-12,1100,111798
2024-07-15,623,112421
2024-07-16,663,113084
2024-07-17,763,113847
